PDBId,FileName,gz,cif,Comment
3X0J,3X0J.cif.gz,true,true,1A100RXray.txt
3X0K,3X0K.cif.gz,true,true,1A100RXray.txt
3X0L,3X0L.cif.gz,true,true,1A100RXray.txt
3X1X,3X1X.cif.gz,true,true,1A100RXray.txt
3X2G,3X2G.cif.gz,true,true,1A100RXray.txt
3X2L,3X2L.cif.gz,true,true,1A100RXray.txt
3X2O,3X2O.cif.gz,true,true,1A100RXray.txt
3ZOJ,3ZOJ.cif.gz,true,true,1A100RXray.txt
3ZQV,3ZQV.cif.gz,true,true,1A100RXray.txt
3ZSK,3ZSK.cif.gz,true,true,1A100RXray.txt
3ZTM,3ZTM.cif.gz,true,true,1A100RXray.txt
3ZUC,3ZUC.cif.gz,true,true,1A100RXray.txt
4A02,4A02.cif.gz,true,true,1A100RXray.txt
4A7U,4A7U.cif.gz,true,true,1A100RXray.txt
4A7V,4A7V.cif.gz,true,true,1A100RXray.txt
4A8I,4A8I.cif.gz,true,true,1A100RXray.txt
4ACJ,4ACJ.cif.gz,true,true,1A100RXray.txt
4AWS,4AWS.cif.gz,true,true,1A100RXray.txt
4AWT,4AWT.cif.gz,true,true,1A100RXray.txt
4AXO,4AXO.cif.gz,true,true,1A100RXray.txt
4AYO,4AYO.cif.gz,true,true,1A100RXray.txt
4B4E,4B4E.cif.gz,true,true,1A100RXray.txt
4BCT,4BCT.cif.gz,true,true,1A100RXray.txt
4BM8,4BM8.cif.gz,true,true,1A100RXray.txt
4BVM,4BVM.cif.gz,true,true,1A100RXray.txt
4CE8,4CE8.cif.gz,true,true,1A100RXray.txt
4CNN,4CNN.cif.gz,true,true,1A100RXray.txt
4DRQ,4DRQ.cif.gz,true,true,1A100RXray.txt
4E3Q,4E3Q.cif.gz,true,true,1A100RXray.txt
4E3Y,4E3Y.cif.gz,true,true,1A100RXray.txt
4EA7,4EA7.cif.gz,true,true,1A100RXray.txt
4EA8,4EA8.cif.gz,true,true,1A100RXray.txt
4EA9,4EA9.cif.gz,true,true,1A100RXray.txt
4EGU,4EGU.cif.gz,true,true,1A100RXray.txt
4EKF,4EKF.cif.gz,true,true,1A100RXray.txt
4F18,4F18.cif.gz,true,true,1A100RXray.txt
4F19,4F19.cif.gz,true,true,1A100RXray.txt
4F1U,4F1U.cif.gz,true,true,1A100RXray.txt
4F1V,4F1V.cif.gz,true,true,1A100RXray.txt
4FKA,4FKA.cif.gz,true,true,1A100RXray.txt
4FPT,4FPT.cif.gz,true,true,1A100RXray.txt
4FRC,4FRC.cif.gz,true,true,1A100RXray.txt
4FU5,4FU5.cif.gz,true,true,1A100RXray.txt
4G78,4G78.cif.gz,true,true,1A100RXray.txt
4G9S,4G9S.cif.gz,true,true,1A100RXray.txt
4GA2,4GA2.cif.gz,true,true,1A100RXray.txt
4GCA,4GCA.cif.gz,true,true,1A100RXray.txt
4GDA,4GDA.cif.gz,true,true,1A100RXray.txt
4GNR,4GNR.cif.gz,true,true,1A100RXray.txt
4HNO,4HNO.cif.gz,true,true,1A100RXray.txt
4HUA,4HUA.cif.gz,true,true,1A100RXray.txt
4I3B,4I3B.cif.gz,true,true,1A100RXray.txt
4I8G,4I8G.cif.gz,true,true,1A100RXray.txt
4I8H,4I8H.cif.gz,true,true,1A100RXray.txt
4I8J,4I8J.cif.gz,true,true,1A100RXray.txt
4I8K,4I8K.cif.gz,true,true,1A100RXray.txt
4I8L,4I8L.cif.gz,true,true,1A100RXray.txt
4IAU,4IAU.cif.gz,true,true,1A100RXray.txt
4IGS,4IGS.cif.gz,true,true,1A100RXray.txt
4J5E,4J5E.cif.gz,true,true,1A100RXray.txt
4JP6,4JP6.cif.gz,true,true,1A100RXray.txt
4JP7,4JP7.cif.gz,true,true,1A100RXray.txt
4K8Y,4K8Y.cif.gz,true,true,1A100RXray.txt
4KP5,4KP5.cif.gz,true,true,1A100RXray.txt
4KQP,4KQP.cif.gz,true,true,1A100RXray.txt
4KXU,4KXU.cif.gz,true,true,1A100RXray.txt
4KXV,4KXV.cif.gz,true,true,1A100RXray.txt
4KXW,4KXW.cif.gz,true,true,1A100RXray.txt
4LAU,4LAU.cif.gz,true,true,1A100RXray.txt
4LAZ,4LAZ.cif.gz,true,true,1A100RXray.txt
4LB3,4LB3.cif.gz,true,true,1A100RXray.txt
4LB4,4LB4.cif.gz,true,true,1A100RXray.txt
4LBR,4LBR.cif.gz,true,true,1A100RXray.txt
4LBS,4LBS.cif.gz,true,true,1A100RXray.txt
4LZT,4LZT.cif.gz,true,true,1A100RXray.txt
4M7G,4M7G.cif.gz,true,true,1A100RXray.txt
4MTU,4MTU.cif.gz,true,true,1A100RXray.txt
4MTY,4MTY.cif.gz,true,true,1A100RXray.txt
4MZC,4MZC.cif.gz,true,true,1A100RXray.txt
4N1I,4N1I.cif.gz,true,true,1A100RXray.txt
4NDS,4NDS.cif.gz,true,true,1A100RXray.txt
4NIV,4NIV.cif.gz,true,true,1A100RXray.txt
4NSV,4NSV.cif.gz,true,true,1A100RXray.txt
4O6Q,4O6Q.cif.gz,true,true,1A100RXray.txt
4O6U,4O6U.cif.gz,true,true,1A100RXray.txt
4O8H,4O8H.cif.gz,true,true,1A100RXray.txt
4OO4,4OO4.cif.gz,true,true,1A100RXray.txt
4PRT,4PRT.cif.gz,true,true,1A100RXray.txt
4PSS,4PSS.cif.gz,true,true,1A100RXray.txt
4PSY,4PSY.cif.gz,true,true,1A100RXray.txt
4PTH,4PTH.cif.gz,true,true,1A100RXray.txt
4Q4G,4Q4G.cif.gz,true,true,1A100RXray.txt
4Q78,4Q78.cif.gz,true,true,1A100RXray.txt
4Q9W,4Q9W.cif.gz,true,true,1A100RXray.txt
4QB3,4QB3.cif.gz,true,true,1A100RXray.txt
4QBX,4QBX.cif.gz,true,true,1A100RXray.txt
4QXI,4QXI.cif.gz,true,true,1A100RXray.txt
4R2X,4R2X.cif.gz,true,true,1A100RXray.txt
4R5R,4R5R.cif.gz,true,true,1A100RXray.txt
